Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,515.7,6188.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Content Delivery Network,Amazon CloudFront,0,5051.2,60614.4,USD,"Data transfer out to internet (50000 GB per month), Data transfer out to origin (50000 GB per month)"
My Estimate,US East (N. Virginia),S3 Storage Service,S3 Standard,0,1285.27,15423.24,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),S3 Storage Service,Data Transfer,0,460.8,5529.6,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Internet (5 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,4578.5,54942,USD,"Operating system (Linux), Quantity (32), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (200 GB), Instance type (t4g.2xlarge)"
My Estimate,US East (N. Virginia),DB,Amazon RDS for MariaDB,0,4508.3,54099.6,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (5000 GB per month), Quantity (2), Instance type (db.m3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB)"
My Estimate,US East (N. Virginia),Elastic Load Balancer,Application Load Balancer,0,1324.95,15899.4,USD,Number of Application Load Balancers (6)
My Estimate,US East (N. Virginia),Elastic Load Balancer,Network Load Balancer,0,470.85,5650.2,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (50 GB per hour), Average number of new TCP connections (500 per second), Average TCP connection duration (50 seconds)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
